Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
50177,0.55,Ideal,E,VS1,61.5,56.0,2220,5.26,5.29,3.24
17689,1.3,Premium,D,SI2,60.2,59.0,7130,7.05,7.0,4.23
38204,0.43,Premium,H,VS2,61.9,55.0,1016,4.95,4.8,3.02
1827,0.72,Very Good,F,VS1,62.1,59.0,3059,5.69,5.74,3.55
34544,0.43,Very Good,E,VS2,62.2,58.0,869,4.81,4.87,3.01
43246,0.42,Ideal,E,VVS1,61.6,56.0,1400,4.81,4.84,2.97
4654,1.12,Premium,I,SI2,61.2,58.0,3669,6.72,6.68,4.1
3913,0.78,Premium,E,VS2,62.8,60.0,3494,5.86,5.79,3.66
18975,1.59,Premium,J,VS2,62.6,59.0,7811,7.43,7.45,4.66
43764,0.41,Ideal,F,IF,61.4,58.0,1439,4.78,4.83,2.95
24998,1.5,Premium,E,VS1,60.1,60.0,13513,7.42,7.48,4.48
25493,2.01,Premium,F,SI2,62.4,58.0,14279,8.08,8.05,5.03
47775,0.51,Very Good,G,VVS2,63.3,58.0,1895,5.07,5.04,3.2
38648,0.44,Premium,I,VS1,62.8,56.0,1040,4.88,4.83,3.05
53621,0.3,Good,D,SI1,63.2,56.0,552,4.24,4.27,2.69
33835,0.34,Ideal,G,VVS1,61.5,56.0,844,4.47,4.5,2.75
2013,0.78,Premium,D,SI1,61.8,59.0,3103,5.93,5.88,3.65
40594,0.28,Ideal,G,VS2,62.2,54.0,497,4.21,4.24,2.63
7230,0.9,Ideal,H,VS1,61.8,56.0,4194,6.18,6.24,3.84
16580,1.21,Ideal,H,SI1,60.3,60.0,6620,6.9,6.87,4.15
42410,0.42,Ideal,G,IF,62.0,57.0,1310,4.82,4.8,2.98
52647,0.24,Very Good,E,VVS2,62.4,58.0,552,3.96,3.99,2.48
6862,0.81,Ideal,G,VVS2,61.7,55.1,4127,5.97,6.04,3.71
39642,0.41,Ideal,E,VVS2,62.3,58.0,1085,4.73,4.78,2.96
42641,0.5,Ideal,H,VS2,61.2,56.0,1332,5.18,5.14,3.16
21197,1.51,Very Good,E,SI2,63.1,61.0,9343,7.25,7.3,4.59
23617,1.13,Ideal,E,VVS1,61.5,56.0,11641,6.68,6.71,4.12
35846,0.4,Ideal,G,VVS2,62.6,53.0,917,4.72,4.77,2.97
41223,0.43,Ideal,G,VVS1,62.0,55.0,1207,4.82,4.85,3.0
6412,1.13,Premium,E,SI2,59.4,62.0,4040,6.83,6.78,4.04
220,0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08
23886,1.52,Premium,H,VVS2,61.2,58.0,11979,7.48,7.41,4.56
25430,1.81,Very Good,I,VS1,59.9,61.0,14177,7.85,7.91,4.72
52471,0.96,Fair,J,SI1,67.3,56.0,2517,6.06,6.01,4.06
2291,0.9,Very Good,H,SI2,59.2,61.0,3160,6.23,6.27,3.7
38858,0.4,Premium,G,VVS2,62.0,58.0,1050,4.74,4.68,2.92
43322,0.53,Fair,F,VS2,65.5,58.0,1402,5.09,5.03,3.31
49397,0.5,Ideal,G,IF,61.5,56.0,2104,5.11,5.14,3.15
53696,0.75,Good,E,VS2,59.7,65.0,2717,5.85,5.8,3.48
14508,1.09,Premium,H,VS1,60.2,59.0,5860,6.71,6.67,4.03
2345,0.83,Ideal,G,SI1,61.8,55.0,3171,6.05,6.09,3.75
3908,0.73,Ideal,F,VS1,61.4,55.0,3493,5.81,5.84,3.57
23151,1.02,Premium,F,IF,62.5,58.0,11167,6.54,6.39,4.04
16885,1.01,Very Good,D,VS2,62.9,58.0,6738,6.35,6.41,4.01
21176,1.13,Ideal,G,VVS2,62.3,57.0,9333,6.62,6.66,4.14
9983,1.5,Fair,I,I1,69.7,56.0,4704,6.94,6.9,4.82
41308,0.38,Ideal,F,IF,62.2,54.0,1212,4.64,4.69,2.9
20083,1.33,Ideal,H,VS1,59.3,57.0,8558,7.18,7.22,4.27
36303,0.32,Premium,H,VVS1,61.5,59.0,936,4.41,4.37,2.7
33640,0.38,Premium,G,VS1,61.9,59.0,833,4.63,4.67,2.88
24537,2.18,Good,H,SI1,63.8,57.0,12825,8.24,8.17,5.23
14106,1.32,Ideal,I,SI2,61.7,55.0,5721,7.07,7.03,4.35
51170,0.79,Good,H,SI2,59.2,58.0,2346,6.05,6.07,3.59
52741,0.81,Ideal,E,SI2,62.0,55.0,2559,6.0,5.96,3.71
7189,0.9,Good,I,VVS1,63.6,58.0,4187,6.1,6.14,3.89
11928,1.24,Ideal,J,SI1,61.9,56.0,5125,6.95,6.88,4.28
43524,0.51,Very Good,D,SI1,60.4,61.0,1425,5.09,5.14,3.09
35778,0.4,Very Good,E,VS2,62.9,55.0,912,4.73,4.74,2.98
13866,1.29,Ideal,J,VS2,60.9,58.0,5646,7.05,7.0,4.28
39313,0.33,Premium,E,VS1,61.0,55.0,1069,4.51,4.47,2.74
39262,0.38,Ideal,E,VS1,61.6,56.0,1069,4.66,4.62,2.86
13320,1.01,Very Good,E,SI1,62.9,58.0,5499,6.35,6.41,4.01
45133,0.54,Very Good,F,VS1,60.0,59.0,1653,5.26,5.32,3.17
3067,0.81,Premium,G,VS1,62.1,58.0,3311,5.96,5.92,3.69
12491,1.02,Fair,F,SI1,64.8,59.0,5255,6.33,6.23,4.07
40762,0.42,Good,F,VVS1,61.2,64.0,1164,4.75,4.8,2.92
15675,1.01,Very Good,F,VS2,60.8,58.0,6288,6.44,6.49,3.93
45862,0.5,Premium,F,VS1,61.6,58.0,1715,5.11,5.06,3.13
50283,0.3,Very Good,H,VS1,62.3,56.0,541,4.29,4.32,2.68
32816,0.34,Ideal,E,VS1,61.2,57.0,805,4.45,4.5,2.74
36843,0.37,Premium,F,VS2,59.7,59.0,957,4.68,4.64,2.78
39234,0.38,Premium,D,VS1,61.9,60.0,1067,4.62,4.66,2.87
50474,0.55,Good,F,IF,60.8,60.0,2266,5.26,5.36,3.23
35269,0.3,Very Good,G,IF,62.8,57.0,895,4.28,4.32,2.7
53659,0.76,Premium,F,SI1,62.0,60.0,2706,5.88,5.76,3.61
32832,0.33,Ideal,H,IF,61.8,55.2,806,4.44,4.47,2.76
42123,0.58,Ideal,I,VS2,62.0,54.0,1279,5.35,5.39,3.33
10739,0.33,Ideal,H,SI1,63.0,56.0,594,4.42,4.41,2.78
46037,0.57,Ideal,E,SI1,62.1,56.0,1728,5.33,5.3,3.3
50580,0.72,Ideal,J,IF,62.0,55.0,2279,5.74,5.77,3.57
32773,0.34,Ideal,D,SI1,62.8,55.0,803,4.5,4.45,2.81
44524,0.52,Very Good,E,VS2,59.2,59.0,1601,5.23,5.27,3.11
1804,0.79,Very Good,E,SI1,63.2,56.0,3053,5.91,5.83,3.71
44536,0.5,Ideal,E,VS1,62.2,57.0,1603,5.1,5.13,3.18
1107,0.91,Premium,I,SI2,62.0,59.0,2913,6.18,6.23,3.85
33348,0.41,Premium,G,VS2,61.8,59.0,827,4.72,4.76,2.93
38118,0.3,Ideal,H,IF,61.8,55.0,1013,4.31,4.3,2.66
17123,1.15,Very Good,G,VS2,62.9,58.0,6831,6.62,6.7,4.19
49711,0.53,Premium,D,VS1,59.2,60.0,2147,5.37,5.31,3.16
16308,1.2,Very Good,G,SI1,62.8,60.0,6526,6.71,6.79,4.24
39688,0.4,Premium,F,VVS2,62.2,59.0,1088,4.65,4.7,2.91
5185,0.9,Premium,G,SI1,62.7,59.0,3774,6.14,6.1,3.84
27961,0.3,Premium,E,VS2,59.9,59.0,658,4.33,4.38,2.61
324,1.04,Premium,G,I1,62.2,58.0,2801,6.46,6.41,4.0
31902,0.3,Good,G,VS1,63.6,55.0,776,4.31,4.27,2.73
13161,1.01,Good,D,SI1,61.8,60.0,5443,6.35,6.37,3.93
32873,0.38,Good,D,VS2,64.1,55.0,809,4.58,4.62,2.95
20170,1.4,Premium,H,SI1,60.5,60.0,8624,7.22,7.16,4.35
16635,1.02,Premium,F,VS2,62.4,59.0,6652,6.4,6.45,4.01
28080,0.4,Ideal,J,VVS2,62.5,53.0,662,4.74,4.79,2.98
38310,0.31,Premium,J,VS2,62.7,58.0,488,4.34,4.3,2.71
37215,0.34,Ideal,G,IF,61.3,55.0,974,4.53,4.57,2.79
37001,0.5,Good,J,VS2,63.2,60.0,965,5.01,5.06,3.18
37932,0.26,Very Good,H,VVS2,62.5,56.0,486,4.07,4.09,2.55
16824,1.2,Good,H,VS2,63.3,59.0,6710,6.74,6.78,4.28
